#{"t_start": 1746507355.086796, "env_id": "MergeEnv-v0"}
r,l,t
-15.767577,50,0.663633
-8.840193,50,1.010073
-13.61597,50,1.337082
-11.977899,50,1.78035
-11.660639,50,2.137855
-8.834512,50,2.496621
-10.976685,50,2.858396
-9.157115,50,3.182909
-7.815429,50,3.496127
-6.425715,50,3.81106
-12.674781,50,4.137257
-13.458498,50,4.448492
-12.772425,50,4.749553
-10.230227,50,5.058089
-7.702609,50,5.436127
-8.249487,50,5.781614
-7.523083,50,6.099109
-8.60101,50,6.408362
-10.314821,50,6.712848
-6.34686,50,7.013544
-10.616999,50,7.322844
-10.252845,50,7.62718
-10.328167,50,7.929969
-5.549938,50,8.234398
-7.503668,50,8.542504
-11.850854,50,8.846171
-12.707829,50,9.165676
-8.459299,50,9.470584
-6.639811,50,9.773747
-13.385391,50,10.075637
-10.147101,50,10.378892
-11.784069,50,10.682105
-10.552782,50,10.98215
-0.052097,23,11.133099
-13.779547,50,11.434622
-11.924128,50,11.736941
-11.730257,50,12.042713
-11.072067,50,12.350438
-10.176518,50,12.653783
-11.85689,50,12.969709
-12.876254,50,13.296614
-12.953212,50,14.098327
-12.363834,50,14.570447
-15.689412,50,14.90168
-11.691882,50,15.294133
-16.397192,50,15.668917
-15.120572,50,15.997357
-10.271513,50,16.323275
-9.956922,50,16.639186
-12.925113,50,16.942976
-6.177874,50,17.395245
-10.087125,50,17.726575
0.241506,22,17.890108
-12.422547,50,18.196136
0.596643,22,18.343354
-8.295057,50,18.655793
-0.298247,26,18.826158
-14.103193,50,19.131113
-8.617266,50,19.441835
-10.62398,50,19.747737
-11.295277,50,20.053539
-16.892101,50,20.364238
-11.017428,50,20.6718
-10.35712,50,20.975052
-11.425354,50,21.277344
-11.783649,50,21.581977
-12.997204,50,21.909614
-10.69438,50,22.215896
-7.754158,30,22.409039
-11.803885,50,22.716497
-13.179284,50,23.022651
-12.866783,50,23.328095
-8.898833,50,24.093179
-10.764198,50,24.409997
-11.545133,50,24.738133
-10.696952,50,25.049589
-10.225423,50,25.393879
-11.909964,50,25.736152
0.230785,21,25.887791
-10.80269,27,26.064012
-12.184334,50,26.365586
-5.422094,28,26.547841
-11.325876,50,26.855034
-9.665524,50,27.179323
-5.994975,50,27.49076
-8.697891,50,28.149367
-10.870513,50,28.520649
-15.975904,50,28.844858
-10.296923,50,29.146924
-16.872992,50,29.449553
-10.075946,28,29.629978
-13.854969,50,29.932315
-15.500753,23,30.084574
-16.790768,50,30.388238
-11.33021,50,30.692327
-9.794952,50,30.994852
0.363615,24,31.153403
-16.516034,50,31.454227
-10.744931,50,31.756342
-10.86256,50,32.068866
-11.645571,50,32.371755
-0.018647,30,32.563781
-12.012907,50,32.865182
0.324224,28,33.044874
-10.126969,50,33.346101
-10.332927,50,33.648829
-11.505105,50,34.162294
-11.973728,50,34.468866
0.626702,20,34.614468
-9.516519,50,34.94355
-10.395231,50,35.264241
-11.458459,50,35.57127
-9.4004,50,35.900241
-13.568609,21,36.051453
-13.113868,50,36.353072
-7.23949,50,36.656963
-0.193679,28,36.837246
-11.624048,50,37.139068
-1.425496,20,37.275428
-17.439245,26,37.442539
-11.935734,50,37.746166
-6.703953,50,38.048144
-15.335267,50,38.350829
-9.873024,50,38.654074
-11.166163,50,38.955155
-0.119417,32,39.156818
-15.790345,50,39.458973
-16.011442,50,39.761085
-9.740143,50,40.064136
-11.233368,50,40.368053
-13.308027,50,40.671755
0.287636,22,40.818486
-7.878133,23,40.969317
-21.518894,21,41.436929
-10.727551,50,41.76367
-6.387987,50,42.067812
-10.917759,50,42.368996
-10.889585,50,42.674365
-11.478033,50,42.978471
-10.315407,50,43.280264
-14.252633,50,43.58309
-16.817184,50,43.884702
0.109376,24,44.042116
-7.132637,50,44.343446
-0.121837,31,44.540224
-11.9835,50,44.84358
-15.595506,50,45.152623
0.504242,22,45.310758
-3.549557,23,45.473891
-2.621914,20,45.620019
-10.191155,50,45.983547
-9.578122,50,46.323339
-6.995088,50,46.630668
-7.975728,23,46.790677
-28.015506,30,46.981756
-11.881323,50,47.284295
-15.267638,50,47.586638
-17.00878,50,47.889349
-11.570625,50,48.191887
-9.803593,50,48.495
-7.073902,50,48.802332
-7.122763,50,49.106647
0.207345,24,49.264371
-0.322123,24,49.421448
-6.218858,50,49.725805
-13.264719,50,50.180178
-28.878566,50,50.485708
-6.328038,50,50.79185
-10.564597,50,51.094685
0.248514,21,51.308281
-12.968197,50,51.631781
-17.920733,50,51.935938
-14.342085,50,52.251606
-6.09284,50,52.555507
-12.276128,50,52.860358
-9.729091,50,53.161488
-16.963302,50,53.46522
-11.336182,50,53.766535
-11.113159,50,54.070428
-15.586371,50,54.373322
-3.954228,31,54.909838
-10.535882,50,55.21604
-10.821603,30,55.406962
-10.709538,50,55.710152
-6.759497,50,56.036692
-14.012155,50,56.406958
-1.619466,27,56.588602
-5.189959,50,56.901639
-11.273715,50,57.26626
0.64216,19,57.398004
-14.512198,50,57.711999
-5.123954,50,58.016598
-10.723625,50,58.320658
-11.415197,50,58.624154
-5.41848,50,58.929729
-14.820056,50,59.231836
-6.463858,50,59.53449
-5.130737,50,59.840548
-11.933227,50,60.144135
-0.093021,26,60.313026
-6.887418,50,60.616297
-11.799457,50,60.920547
-10.261919,50,61.223195
-18.177575,50,61.529497
-11.018517,50,61.830671
-6.396174,50,62.141719
0.367564,25,62.306448
-11.668453,50,62.607614
-12.665187,27,62.782029
-13.568956,50,63.084165
-13.113157,50,63.387017
-11.066395,50,63.692989
-12.287774,50,63.999437
-10.752402,50,64.3038
-12.348712,50,64.60692
-4.69617,50,64.910939
-6.182692,50,65.305617
-10.81885,50,65.673954
-10.858776,50,65.976462
-14.348096,21,66.126232
-12.942646,50,66.611665
-10.28155,50,66.931213
-16.779376,50,67.257868
-18.335079,50,67.57083
-20.315266,21,67.715182
-10.655567,50,68.377252
-13.202184,50,68.685221
-11.543608,50,68.994632
-16.639479,50,69.299772
0.64129,20,69.435734
-10.582071,50,69.819032
-25.566053,50,70.121209
-7.75084,50,70.426096
-8.645458,24,70.585383
0.591454,22,70.732628
0.156588,22,70.879866
-5.814766,50,71.181747
-3.443618,19,71.311361
-0.40161,29,71.496685
-12.070127,50,71.800018
-21.887833,50,72.102208
-1.915884,22,72.249396
-12.199481,50,72.55269
-11.594983,50,72.85559
-11.854093,50,73.162095
-10.143112,50,73.466079
0.428346,21,73.60656
0.396735,22,73.753383
0.132795,23,73.904361
-14.897895,50,74.20642
-7.816468,50,74.508914
-12.275603,50,74.811775
-11.826064,50,75.112186
-15.055785,50,75.416116
-15.627687,50,75.72085
-11.550529,50,76.021891
-13.395374,50,76.39042
-2.740641,20,76.551659
-12.133682,50,76.865124
-15.434258,21,77.007016
-10.973888,50,77.311982
-19.357796,50,77.631847
-10.802571,50,77.954783
-4.630442,50,78.26657
-11.028446,50,78.570889
-13.686032,50,78.875361
-11.361334,50,79.186223
-12.702112,50,79.48955
-9.590572,50,79.788314
-19.252488,50,80.091707
-9.686174,50,80.394956
-12.235815,50,80.699684
-10.51152,50,81.004563
-15.121191,50,81.647423
-8.869698,50,81.950361
-11.507554,50,82.252465
-10.199056,50,82.554434
-12.9269,50,83.160603
-2.958212,21,83.30055
0.609438,24,83.457186
-11.643454,50,83.757326
0.463505,19,83.887459
-1.585527,23,84.037995
-1.829369,28,84.229854
-7.12152,50,84.550325
-6.713646,50,84.849606
-10.141679,50,85.152108
-11.160544,50,85.454142
-0.130672,28,85.635528
-6.320002,50,85.936717
-13.074736,50,86.252599
-9.689775,50,86.62258
-11.973235,50,86.972722
-4.669578,22,87.127626
-5.808988,26,87.303896
0.378908,20,87.438733
-14.580521,50,87.739501
-24.314049,50,88.060219
-11.568859,50,88.53446
-7.57415,50,88.8611
-11.13386,50,89.17433
-13.691188,50,89.47551
-15.834885,50,89.789997
-9.632847,50,90.095838
-20.346239,19,90.234329
-6.360659,50,90.550925
-0.092822,30,90.741463
-14.394403,50,91.04227
-2.151638,26,91.221546
0.12051,25,91.391696
0.601664,19,91.521883
-16.993878,50,91.822995
-12.702254,50,92.148376
-20.064897,50,92.525272
-20.850892,50,92.826706
-15.128159,50,93.129872
-4.590438,50,93.428869
0.462181,23,93.581086
-13.428348,29,93.764803
-11.849849,50,94.064874
-11.144716,50,94.364369
-11.526068,50,94.666121
-11.019452,50,95.360373
0.063511,31,95.563685
-4.090053,25,95.726335
-6.610164,50,96.028715
-6.241908,50,96.342663
-16.596086,50,96.650135
-1.582605,30,96.839827
-3.038857,32,97.040417
-9.237792,50,97.395724
-12.927102,50,97.714943
-5.780055,50,98.037198
-11.051196,50,98.341967
0.51531,26,98.509466
-3.371307,27,98.682517
-13.78938,22,98.826996
-4.541339,21,98.969665
-7.893035,50,99.294834
-13.649482,50,99.938539
-13.936341,50,100.249949
-10.531462,50,100.577368
-6.015309,50,100.888696
-9.751732,50,101.196217
-4.627093,50,101.498646
-12.01714,50,101.798587
-11.519193,21,101.940967
-7.173393,50,102.245236
0.033553,25,102.408477
-10.978874,50,102.720877
-16.161631,50,103.05468
0.147287,29,103.242845
-4.731102,22,103.388138
0.531384,31,103.584778
-10.784767,50,103.886428
-12.519223,50,104.189308
-1.952293,32,104.392856
-9.886555,50,104.698545
-14.555981,50,105.000014
-10.763119,50,105.311877
-23.833742,50,105.707672
-8.137871,50,106.011681
0.043461,23,106.162272
-38.437147,50,106.464789
-9.83176,50,106.769077
-6.749299,50,107.109006
-3.31367,29,107.311299
-14.385982,50,107.653275
-11.8303,50,107.95765
0.278702,23,108.109143
-10.780324,50,108.413772
-16.516903,50,109.055389
-7.20209,50,109.364651
-12.080845,50,109.668885
-11.94182,50,109.988427
-11.969854,50,110.309109
0.498027,21,110.454888
-10.748274,50,110.76226
-14.559625,20,110.896982
-0.53968,28,111.075861
0.595693,20,111.212868
-25.132036,50,111.526191
-10.390306,50,111.827526
-20.394968,22,111.973642
0.470271,25,112.137549
-0.05424,26,112.306102
-11.318753,50,112.608771
0.15534,29,112.793495
0.437018,22,112.939357
-27.135675,50,113.242973
-11.336478,50,113.547676
-4.348016,31,113.743125
-10.108247,50,114.045582
-15.67968,50,114.348489
-11.891375,50,114.649422
-8.859426,50,114.952114
-24.407896,25,115.115078
-3.448893,20,115.250019
-11.21505,50,115.560308
-16.231293,50,115.859897
-14.780944,50,116.331631
0.517528,22,116.515563
-17.468487,27,116.690703
-9.985854,50,116.992612
-12.121594,50,117.329697
0.049767,22,117.475634
0.60601,24,117.633565
-12.217336,50,117.934773
-12.065697,50,118.237904
-16.452106,50,118.54042
-9.103858,50,118.842989
0.455966,20,118.978109
0.242658,25,119.141339
0.358827,29,119.327298
0.524615,22,119.473817
-11.742335,50,119.774101
-16.594526,50,120.076282
-5.966904,25,120.240477
-10.212646,50,120.554194
-18.479705,50,120.886265
-6.463672,20,121.027702
-11.937826,50,121.342746
-14.321913,19,121.471943
0.050249,25,121.634191
-17.174577,50,121.935352
-26.558186,50,122.587012
-7.060066,50,122.914823
-12.197185,50,123.23654
-13.631807,50,123.541584
-23.957173,50,123.843937
0.124171,24,124.001225
-6.577067,50,124.301489
-5.949105,50,124.602104
-11.673497,50,124.904207
-7.611249,50,125.288202
-13.423092,50,125.592212
-7.262465,50,125.894565
-29.657936,50,126.196216
-7.124673,50,126.49667
0.544397,31,126.694138
-14.973298,50,126.996653
-11.236906,50,127.312462
-36.43804,25,127.49045
-10.57088,50,127.792349
-16.760829,50,128.105036
-11.455909,50,128.408455
-6.466999,28,128.589009
-0.160314,26,128.757652
0.512915,19,128.888416
-12.716626,50,129.198209
0.191883,29,129.386686
-18.416428,50,129.689362
-16.468081,24,129.845934
-12.605519,50,130.147352
-11.532862,50,130.456377
0.072454,26,130.625678
0.230742,24,130.785682
0.51671,20,130.925586
-7.556471,50,131.237547
0.233135,30,131.470585
0.121262,23,131.63334
0.047223,29,131.829797
-2.674945,23,131.987994
-5.060784,50,132.606989
0.47194,28,132.790149
-31.752633,28,132.976135
-4.358997,19,133.105434
0.573014,23,133.25984
-7.381441,50,133.56182
-10.408967,50,133.864377
-1.374099,21,134.005042
-16.149039,50,134.307633
-11.25621,50,134.609511
-7.402629,29,134.795187
-34.676909,50,135.096926
-15.167441,50,135.397968
0.083843,25,135.894639
-12.866366,50,136.20899
-13.121084,50,136.512875
-0.307325,32,136.714757
-18.497235,50,137.015847
-11.437861,50,137.373645
-16.542565,27,137.56175
-5.231012,50,137.871764
-6.384515,50,138.174968
-4.90429,31,138.371527
-12.845751,50,138.673709
-10.14185,50,138.97585
-6.526369,50,139.278169
-5.624181,20,139.412914
-6.24504,50,139.715787
-37.496358,50,140.018287
0.174451,31,140.281212
0.220323,22,140.455408
-11.645056,50,140.758877
0.185618,29,140.943436
-4.576925,30,141.134933
0.635372,19,141.264028
-11.161144,50,141.567022
-5.55525,50,141.869627
0.307917,23,142.023765
-11.065641,50,142.344071
-10.623123,50,142.662843
-11.453146,50,142.97121
-4.879769,50,143.274432
-2.252363,25,143.436363
-10.474697,50,143.751756
-12.478012,50,144.054154
-12.56143,50,144.357293
-16.297608,50,144.658954
-12.296825,50,144.960361
-12.597313,50,145.264387
0.597596,19,145.39403
-8.82286,50,145.698644
0.063974,28,145.879368
-11.603424,50,146.181436
0.519476,21,146.321819
-13.380395,50,146.623747
-11.630123,50,146.92668
-15.73292,29,147.111275
-12.650684,50,147.427259
-7.741643,50,147.746357
-11.263813,50,148.05092
-6.32128,26,148.22004
-12.161019,50,148.521343
-38.303266,50,149.356684
-6.343184,50,149.667813
-14.254523,50,149.973165
-9.644463,25,150.136657
0.125066,22,150.284215
-1.355297,21,150.424474
-10.529324,50,150.728469
-12.552501,50,151.030831
-4.389668,28,151.209179
-11.236361,50,151.511418
-6.265684,50,151.815435
-6.783342,50,152.117768
-12.359741,50,152.419377
0.477068,23,152.570544
0.618854,24,152.729842
0.178696,25,152.899378
-12.157741,50,153.231486
0.319659,25,153.402787
-22.089348,50,153.710925
-12.735952,50,154.01335
-7.264546,50,154.328212
0.400642,27,154.504323
-10.188662,50,154.806491
0.368915,26,154.979926
-1.64202,23,155.133115
-11.267686,50,155.435865
0.676673,22,155.584796
-11.965716,50,155.887699
0.092958,30,156.07749
0.244703,29,156.262192
-18.93871,50,156.565243
-10.31191,50,156.867536
-25.396115,22,157.013321
0.021345,22,157.159544
-7.491328,50,157.528286
-0.574344,33,157.757495
-10.847689,50,158.061053
-9.609991,29,158.246592
-4.457771,24,158.403232
-2.987768,21,158.543946
0.302132,26,158.712429
-16.141544,50,159.015378
0.483553,24,159.172135
-7.348785,50,159.475833
0.095179,22,159.623431
0.506631,29,159.807378
-1.849257,25,159.97078
0.449656,25,160.133012
-6.405638,50,160.436045
-13.42446,50,160.740202
-15.270746,50,161.043198
-6.311375,50,161.346209
-10.572835,50,161.648321
-6.380696,50,161.952013
-15.161686,50,162.589712
-20.697246,21,162.736232
0.395286,23,162.887789
-6.385185,50,163.190858
-0.192548,27,163.364284
-6.892582,25,163.537673
-12.554714,24,163.704092
-15.285979,50,164.025271
-10.444423,50,164.334772
-12.041057,50,164.639583
-3.587681,21,164.781992
0.308514,26,164.957625
0.192731,23,165.132099
-0.330525,14,165.368344
-3.506773,20,165.507109
-11.745296,50,165.817163
-0.158227,27,165.991794
-1.964714,37,166.222834
-17.165099,50,166.530518
-15.589929,24,166.691237
-10.167071,50,166.991905
-12.096847,50,167.296158
-12.462506,50,167.598932
-0.352262,22,167.792181
-12.892045,50,168.134085
0.577361,22,168.291107
-52.848972,50,168.596242
-12.651447,20,168.731783
-13.164619,50,169.033664
0.436361,28,169.213651
-11.872948,50,169.516468
-31.276929,50,169.818925
-12.136123,50,170.121889
-10.901558,50,170.424253
-6.409372,25,170.589913
-10.571903,50,170.892407
0.495998,26,171.062405
-12.752296,24,171.226847
-6.194039,50,171.611009
-9.499914,22,171.759104
-11.732514,50,172.062509
-16.810487,50,172.366522
-8.98782,28,172.547492
-14.34389,50,172.84903
0.506083,22,172.996353
-12.344774,50,173.297061
0.537073,30,173.487715
0.516722,22,173.633786
-11.331263,50,173.936565
-6.766763,21,174.079426
0.057385,30,174.27426
-11.310961,50,174.600865
-0.05526,27,174.78808
-4.563665,29,174.981257
-11.74157,50,175.291618
-10.703409,50,175.597468
0.578734,21,176.078587
-12.336128,50,176.392747
-9.560412,19,176.522405
-10.876965,50,176.825241
-2.751712,23,176.977295
-14.859799,50,177.280145
-7.795804,30,177.47185
0.297554,20,177.606911
-11.987306,50,177.910787
-11.477062,50,178.238556
-4.790545,50,178.54284
-10.998293,50,178.84667
-10.384742,19,178.975868
-22.591866,50,179.278911
-0.158329,32,179.482042
-11.050548,50,179.787355
-11.873311,50,180.090145
0.551819,25,180.254669
-6.581737,30,180.445813
-0.016801,27,180.620781
-12.246058,50,180.924627
-6.451829,50,181.227621
0.445486,21,181.36767
-19.852789,50,181.975104
-12.151091,50,182.27922
-11.508195,50,182.583923
-51.668757,30,182.774616
-11.534618,50,183.080006
0.542214,26,183.256694
-17.711658,50,183.561758
-7.499081,22,183.707602
0.494138,24,183.866725
-13.125733,50,184.168575
-10.352574,50,184.47358
-13.102252,50,184.776582
0.024595,26,184.948098
0.548036,25,185.122675
-5.468764,50,185.442246
-1.220361,33,185.659852
-5.207856,50,185.968935
-10.311968,50,186.273184
-14.838693,32,186.479593
-14.535947,50,186.786533
-6.539107,50,187.087533
-10.054166,50,187.393188
-17.673814,50,187.696577
0.368562,26,187.867594
-10.864896,25,188.030084
-6.834177,24,188.205122
0.668254,22,188.358593
-14.391128,50,188.661288
0.620823,24,188.819116
-11.804752,50,189.134525
0.366751,20,189.601667
-15.805765,24,189.76739
-13.245503,50,190.071758
-13.22538,50,190.376174
-12.895607,50,190.682018
0.338729,27,190.85603
0.569657,22,191.00231
-7.936274,50,191.37059
-21.473336,22,191.516904
-1.770941,24,191.674549
-18.282508,50,191.977957
0.409274,27,192.155626
-12.433956,50,192.457626
-6.756781,31,192.654466
-5.859418,23,192.805497
-11.830341,50,193.108711
0.057196,21,193.24931
-12.254447,50,193.552246
-11.658162,50,193.855347
-0.063794,30,194.047931
-10.546285,50,194.351387
0.388044,19,194.481131
-5.520386,28,194.660519
-27.822723,50,194.963456
0.157539,31,195.161024
-10.923524,50,195.463131
